File,aid,Date,0,1,2,4,5,6
QA_2019067_aid0001,aid0001,2019-03-08,5882.0,3683.0,84592.0,18338,10318,500842
QA_2019068_aid0001,aid0001,2019-03-09,10872.0,4547.0,119870.0,13399,9907,465060
QA_2019069_aid0001,aid0001,2019-03-10,11217.0,4424.0,134134.0,13060,8992,451828
QA_2019070_aid0001,aid0001,2019-03-11,6494.0,2094.0,163367.0,17762,12896,421042
QA_2019071_aid0001,aid0001,2019-03-12,2235.0,2277.0,81797.0,22073,13668,501605
QA_2019072_aid0001,aid0001,2019-03-13,752.0,838.0,16046.0,23556,12632,569831
QA_2019073_aid0001,aid0001,2019-03-14,6254.0,3166.0,32383.0,17887,8485,555480
QA_2019074_aid0001,aid0001,2019-03-15,3438.0,1018.0,18869.0,20892,10783,568655
QA_2019075_aid0001,aid0001,2019-03-16,1108.0,732.0,17400.0,23147,12449,568819
QA_2019076_aid0001,aid0001,2019-03-17,2585.0,1556.0,35953.0,21687,14241,547633
QA_2019077_aid0001,aid0001,2019-03-18,7084.0,1568.0,31465.0,17108,12136,554294
QA_2019078_aid0001,aid0001,2019-03-19,14328.0,6831.0,248318.0,9995,7735,336448
QA_2019079_aid0001,aid0001,2019-03-20,7003.0,2011.0,151801.0,17207,12447,433186
QA_2019080_aid0001,aid0001,2019-03-21,3823.0,1880.0,104287.0,20272,10912,482481
QA_2019081_aid0001,aid0001,2019-03-22,8881.0,10456.0,304756.0,15416,5317,278829
QA_2019082_aid0001,aid0001,2019-03-23,4558.0,1592.0,65547.0,19743,14321,517894
QA_2019083_aid0001,aid0001,2019-03-24,10863.0,5266.0,112217.0,13433,7958,473918
QA_2019084_aid0001,aid0001,2019-03-25,4129.0,2578.0,46458.0,20118,12104,538268
QA_2019085_aid0001,aid0001,2019-03-26,14408.0,4664.0,91068.0,9864,9214,494437
QA_2019086_aid0001,aid0001,2019-03-27,1402.0,530.0,24885.0,22919,15521,558398
QA_2019087_aid0001,aid0001,2019-03-28,4839.0,3679.0,79348.0,19456,12565,503768
QA_2019088_aid0001,aid0001,2019-03-29,2780.0,2448.0,62629.0,21488,11107,523203
QA_2019089_aid0001,aid0001,2019-03-30,1941.0,1073.0,14017.0,22236,9912,574476
QA_2019090_aid0001,aid0001,2019-03-31,6084.0,1802.0,8267.0,18084,9970,579448
QA_2019091_aid0001,aid0001,2019-04-01,8758.0,4009.0,125582.0,15474,11506,458326
QA_2019092_aid0001,aid0001,2019-04-02,9413.0,3929.0,83080.0,14929,12190,500114
QA_2019093_aid0001,aid0001,2019-04-03,13284.0,9593.0,304382.0,10890,4487,281019
QA_2019094_aid0001,aid0001,2019-04-04,5095.0,1797.0,87709.0,19243,14223,495588
QA_2019095_aid0001,aid0001,2019-04-05,18608.0,7714.0,236947.0,5683,6209,348494
QA_2019096_aid0001,aid0001,2019-04-06,2466.0,656.0,2284.0,21663,13868,582718
QA_2019097_aid0001,aid0001,2019-04-07,3298.0,2194.0,82397.0,20976,13646,501144
QA_2019098_aid0001,aid0001,2019-04-08,5739.0,3606.0,150296.0,18520,12727,432767
QA_2019099_aid0001,aid0001,2019-04-09,2052.0,2725.0,65419.0,22218,10547,520694
QA_2019100_aid0001,aid0001,2019-04-10,1280.0,1632.0,16552.0,22955,8919,572317
QA_2019101_aid0001,aid0001,2019-04-11,17188.0,7010.0,290960.0,7042,6695,294760
QA_2019102_aid0001,aid0001,2019-04-12,1333.0,1381.0,37185.0,22843,13460,547453
QA_2019103_aid0001,aid0001,2019-04-13,2926.0,2637.0,49457.0,21340,12905,534390
QA_2019104_aid0001,aid0001,2019-04-14,6627.0,3565.0,94590.0,17671,10593,490609
QA_2019105_aid0001,aid0001,2019-04-15,13027.0,6805.0,199733.0,11221,7092,385777
QA_2019106_aid0001,aid0001,2019-04-16,7420.0,3857.0,62896.0,16813,8555,524114
QA_2019107_aid0001,aid0001,2019-04-17,2091.0,1572.0,11348.0,22120,11674,574850
QA_2019108_aid0001,aid0001,2019-04-18,1337.0,750.0,37838.0,22928,14942,545860
QA_2019109_aid0001,aid0001,2019-04-19,15491.0,5315.0,117280.0,8695,8429,468445
QA_2019110_aid0001,aid0001,2019-04-20,10624.0,5376.0,123054.0,13550,8085,462966
QA_2019111_aid0001,aid0001,2019-04-21,1229.0,868.0,25438.0,22954,9730,563436
QA_2019112_aid0001,aid0001,2019-04-22,3078.0,1321.0,28620.0,21105,10427,559104
QA_2019113_aid0001,aid0001,2019-04-23,1561.0,805.0,21366.0,22702,14732,562489
QA_2019114_aid0001,aid0001,2019-04-24,3162.0,957.0,29463.0,21092,13831,555150
QA_2019115_aid0001,aid0001,2019-04-25,12192.0,2033.0,27467.0,11970,10538,559455
QA_2019116_aid0001,aid0001,2019-04-26,14001.0,2409.0,19827.0,10065,7941,569412
QA_2019117_aid0001,aid0001,2019-04-27,14882.0,4083.0,67365.0,9350,7658,520317
QA_2019118_aid0001,aid0001,2019-04-28,14377.0,3700.0,90998.0,9857,10855,493868
QA_2019119_aid0001,aid0001,2019-04-29,5061.0,2052.0,101092.0,19200,13647,482603
QA_2019120_aid0001,aid0001,2019-04-30,8637.0,4085.0,157931.0,15604,9123,428275
QA_2019121_aid0001,aid0001,2019-05-01,2479.0,676.0,15040.0,21774,10087,573599
QA_2019122_aid0001,aid0001,2019-05-02,7493.0,1634.0,58717.0,16738,9857,529216
QA_2019123_aid0001,aid0001,2019-05-03,2830.0,1491.0,10411.0,21429,11592,575902
QA_2019124_aid0001,aid0001,2019-05-04,6945.0,1583.0,23768.0,17298,14222,559839
QA_2019125_aid0001,aid0001,2019-05-05,12984.0,3794.0,79404.0,11226,9928,506319
QA_2019126_aid0001,aid0001,2019-05-06,9315.0,4562.0,99829.0,14904,8042,487003
QA_2019127_aid0001,aid0001,2019-05-07,14055.0,3942.0,64001.0,10191,6646,524820
QA_2019128_aid0001,aid0001,2019-05-08,17732.0,5264.0,68958.0,6562,6591,518548
QA_2019129_aid0001,aid0001,2019-05-09,18135.0,6577.0,165025.0,6134,9022,418762
QA_2019130_aid0001,aid0001,2019-05-10,11732.0,3466.0,137111.0,12545,11344,447457
