NDVI,LST,TA,Class
0.539432685,284.3310625,5,No_fire
0.541693982,284.7036511,5,No_fire
0.543955278,285.6137544,5,No_fire
0.546216575,285.3815896,5,No_fire
0.548477871,278.4917647,5,No_fire
0.550739167,280.7893731,5,No_fire
0.553000464,283.0869815,5,No_fire
0.55526176,281.1942455,4,No_fire
0.557523057,279.3015094,5,No_fire
0.559784353,288.7109008,5,No_fire
0.56204565,280.8531707,5,No_fire
0.564306946,288.2543673,5,No_fire
0.566568242,282.8570102,5,No_fire
0.568829539,277.42,5,No_fire
0.571090835,277.9901042,5,No_fire
0.573352132,278.5602083,4,No_fire
0.575613428,279.1303125,4,No_fire
0.576359055,282.7699557,5,No_fire
0.577104681,286.4095989,5,No_fire
0.577850308,285.8201005,5,No_fire
0.578595935,286.6064269,5,No_fire
0.579341561,284.4807278,5,No_fire
0.580087188,288.4389153,8,No_fire
0.580832815,290.114134,5,No_fire
0.581578441,288.4695154,5,No_fire
0.582324068,287.2972241,5,No_fire
0.583069695,286.1249327,5,No_fire
0.583815321,290.0761137,5,No_fire
0.584560948,289.3714616,5,No_fire
0.585306575,290.7317718,5,No_fire
0.586052201,290.0213764,5,No_fire
0.586797828,287.5629833,5,No_fire
0.587543455,285.1045902,5,No_fire
0.585964167,284.7698047,5,No_fire
0.58438488,284.4350192,5,No_fire
0.582805593,282.2808679,5,No_fire
0.581226305,286.0570359,5,No_fire
0.579647018,278.0822977,5,No_fire
0.578067731,281.7719298,5,No_fire
0.576488444,285.4684793,5,No_fire
0.574909156,282.2914012,5,No_fire
0.573329869,286.3962803,5,No_fire
0.571750582,285.7717337,5,No_fire
0.570171294,285.1471871,5,No_fire
0.568592007,284.5226405,5,No_fire
0.56701272,283.8980938,5,No_fire
0.565433432,282.0436728,5,No_fire
0.563854145,282.5133903,5,No_fire
0.562274858,286.0564487,5,No_fire
0.56587406,286.2338234,5,No_fire
0.569473262,286.7685039,5,No_fire
0.573072464,285.3625235,5,No_fire
0.576671666,288.8684018,5,No_fire
0.580270868,285.2089881,5,No_fire
0.58387007,290.6901987,5,No_fire
0.587469272,283.0647761,5,No_fire
0.591068474,285.8089161,5,No_fire
0.594667676,288.5530561,5,No_fire
0.598266879,288.4464057,5,No_fire
0.601866081,287.5323657,5,No_fire
0.605465283,286.6183257,5,No_fire
0.609064485,285.7042857,5,No_fire
0.612663687,285.7135177,5,No_fire
0.616262889,285.7227496,4,No_fire
0.619862091,285.7319816,5,No_fire
0.621956567,286.0970633,5,No_fire
0.624051043,286.462145,5,No_fire
0.62614552,281.7334728,5,No_fire
0.628239996,280.8211111,5,No_fire
0.630334472,291.316718,5,No_fire
0.632428948,291.9722636,5,No_fire
0.634523424,292.1918962,5,No_fire
0.6366179,292.613698,5,No_fire
0.638712376,295.3372364,5,No_fire
0.640806853,295.4154913,5,No_fire
0.642901329,295.0091876,5,No_fire
0.644995805,298.3317519,5,No_fire
0.647090281,293.8692516,5,No_fire
0.649184757,289.4067514,5,No_fire
0.651279233,293.2225816,5,No_fire
0.653373709,292.3227798,5,No_fire
0.653120715,291.422978,5,No_fire
0.65286772,289.6564692,5,No_fire
0.652614725,290.5091227,5,No_fire
0.65236173,291.3617762,5,No_fire
0.652108735,284.2413333,5,No_fire
0.65185574,293.1550448,5,No_fire
0.651602745,292.7442857,5,No_fire
0.65134975,295.1029893,5,No_fire
0.651096755,299.6215425,5,No_fire
0.65084376,298.0121188,5,No_fire
0.650590765,296.402695,5,No_fire
0.650337771,294.7932713,5,No_fire
0.650084776,293.1838475,5,No_fire
0.649831781,291.5744238,5,No_fire
0.649578786,289.965,5,No_fire
0.649325791,295.1287115,5,No_fire
0.647213193,295.7698127,5,No_fire
0.645100594,296.410914,5,No_fire
0.642987996,294.5015979,5,No_fire
0.640875397,295.7802995,5,No_fire
0.638762799,297.0590011,5,No_fire
0.636650201,295.2694883,5,No_fire
0.634537602,294.7756934,5,No_fire
0.632425004,294.2786111,5,No_fire
0.630312406,294.2256487,5,No_fire
0.628199807,296.8142794,5,No_fire
0.626087209,303.2437797,5,No_fire
0.62397461,296.0769584,5,No_fire
0.621862012,298.7041176,5,No_fire
0.619749414,299.889691,5,No_fire
0.617636815,302.2750788,5,No_fire
0.615524217,305.7131757,5,No_fire
0.610267946,304.8257849,5,No_fire
0.605011674,307.3075499,5,No_fire
0.599755403,296.5080916,5,No_fire
0.594499131,300.1796149,5,No_fire
0.58924286,300.351055,5,No_fire
0.583986589,301.5991925,5,No_fire
0.578730317,300.3507781,5,No_fire
0.573474046,300.2281729,5,No_fire
0.568217775,306.2387842,5,No_fire
0.562961503,299.7072084,5,No_fire
0.557705232,305.2909842,5,No_fire
0.55244896,295.4530946,5,No_fire
0.547192689,299.1746886,5,No_fire
0.541936418,300.0153243,5,No_fire
0.536680146,300.2456918,5,No_fire
0.531423875,300.433666,5,No_fire
